Date,SP500,DJI
1992-02-01,412.70001220703125,3267.699951171875
1992-03-01,403.69000244140625,3235.5
1992-04-01,414.95001220703125,3359.10009765625
1992-05-01,415.3500061035156,3396.89990234375
1992-06-01,408.1400146484375,3318.5
1992-07-01,424.2099914550781,3393.800048828125
1992-08-01,414.0299987792969,3257.39990234375
1992-09-01,417.79998779296875,3271.699951171875
1992-10-01,418.67999267578125,3226.300048828125
1992-11-01,431.3500061035156,3305.199951171875
1992-12-01,435.7099914550781,3301.110107421875
1993-01-01,438.7799987792969,3310.0
1993-02-01,443.3800048828125,3370.81005859375
1993-03-01,451.6700134277344,3435.110107421875
1993-04-01,440.19000244140625,3427.550048828125
1993-05-01,450.19000244140625,3527.429931640625
1993-06-01,450.5299987792969,3516.080078125
1993-07-01,448.1300048828125,3539.469970703125
1993-08-01,463.55999755859375,3651.25
1993-09-01,458.92999267578125,3555.1201171875
1993-10-01,467.8299865722656,3680.590087890625
1993-11-01,461.7900085449219,3683.949951171875
1993-12-01,466.45001220703125,3754.090087890625
1994-01-01,481.6099853515625,3978.360107421875
1994-02-01,467.1400146484375,3832.02001953125
1994-03-01,445.7699890136719,3635.9599609375
1994-04-01,450.9100036621094,3681.68994140625
1994-05-01,456.5,3758.3701171875
1994-06-01,444.2699890136719,3624.9599609375
1994-07-01,458.260009765625,3764.5
1994-08-01,475.489990234375,3913.419921875
1994-09-01,462.7099914550781,3843.18994140625
1994-10-01,472.3500061035156,3908.1201171875
1994-11-01,453.69000244140625,3739.22998046875
1994-12-01,459.2699890136719,3834.43994140625
1995-01-01,470.4200134277344,3843.860107421875
1995-02-01,487.3900146484375,4011.050048828125
1995-03-01,500.7099914550781,4157.68994140625
1995-04-01,514.7100219726562,4321.27001953125
1995-05-01,533.4000244140625,4465.14013671875
1995-06-01,544.75,4556.10009765625
1995-07-01,562.0599975585938,4708.47021484375
1995-08-01,561.8800048828125,4610.56005859375
1995-09-01,584.4099731445312,4789.080078125
1995-10-01,581.5,4755.47998046875
1995-11-01,605.3699951171875,5074.490234375
1995-12-01,615.9299926757812,5117.1201171875
1996-01-01,636.02001953125,5395.2998046875
1996-02-01,640.4299926757812,5485.6201171875
1996-03-01,645.5,5587.14013671875
1996-04-01,654.1699829101562,5569.080078125
1996-05-01,669.1199951171875,5643.18017578125
1996-06-01,670.6300048828125,5654.6298828125
1996-07-01,639.9500122070312,5528.91015625
1996-08-01,651.989990234375,5616.2099609375
1996-09-01,687.3300170898438,5882.169921875
1996-10-01,705.27001953125,6029.3798828125
1996-11-01,757.02001953125,6521.7001953125
1996-12-01,740.739990234375,6448.27001953125
1997-01-01,786.1599731445312,6813.08984375
1997-02-01,790.8200073242188,6877.740234375
1997-03-01,757.1199951171875,6583.47998046875
1997-04-01,801.3400268554688,7009.0
1997-05-01,848.280029296875,7331.0
1997-06-01,885.1400146484375,7672.7998046875
1997-07-01,954.3099975585938,8222.599609375
1997-08-01,899.469970703125,7622.39990234375
1997-09-01,947.280029296875,7945.2998046875
1997-10-01,914.6199951171875,7442.10009765625
1997-11-01,955.4000244140625,7823.10009765625
1997-12-01,970.4299926757812,7908.2998046875
1998-01-01,980.280029296875,7906.5
1998-02-01,1049.3399658203125,8545.7197265625
1998-03-01,1101.75,8799.8095703125
1998-04-01,1111.75,9063.3701171875
1998-05-01,1090.8199462890625,8899.9501953125
1998-06-01,1133.8399658203125,8952.01953125
1998-07-01,1120.6700439453125,8883.2900390625
1998-08-01,957.280029296875,7539.06982421875
1998-09-01,1017.010009765625,7842.6201171875
1998-10-01,1098.6700439453125,8592.099609375
1998-11-01,1163.6300048828125,9116.5498046875
1998-12-01,1229.22998046875,9181.4296875
1999-01-01,1279.6400146484375,9358.830078125
1999-02-01,1238.3299560546875,9306.580078125
1999-03-01,1286.3699951171875,9786.16015625
1999-04-01,1335.1800537109375,10789.0400390625
1999-05-01,1301.8399658203125,10559.740234375
1999-06-01,1372.7099609375,10970.7998046875
1999-07-01,1328.719970703125,10655.150390625
1999-08-01,1320.4100341796875,10829.2802734375
1999-09-01,1282.7099609375,10336.9501953125
1999-10-01,1362.9300537109375,10729.8603515625
1999-11-01,1388.9100341796875,10877.8095703125
1999-12-01,1469.25,11497.1201171875
2000-01-01,1394.4599609375,10940.5302734375
2000-02-01,1366.4200439453125,10128.3095703125
2000-03-01,1498.5799560546875,10921.919921875
2000-04-01,1452.4300537109375,10733.91015625
2000-05-01,1420.5999755859375,10522.330078125
2000-06-01,1454.5999755859375,10447.8896484375
2000-07-01,1430.8299560546875,10521.98046875
2000-08-01,1517.6800537109375,11215.099609375
2000-09-01,1436.510009765625,10650.919921875
2000-10-01,1429.4000244140625,10971.1396484375
2000-11-01,1314.949951171875,10414.490234375
2000-12-01,1320.280029296875,10787.990234375
2001-01-01,1366.010009765625,10887.3603515625
2001-02-01,1239.93994140625,10495.2802734375
2001-03-01,1160.3299560546875,9878.7802734375
2001-04-01,1249.4599609375,10734.9697265625
2001-05-01,1255.8199462890625,10911.9404296875
2001-06-01,1224.3800048828125,10502.400390625
2001-07-01,1211.22998046875,10522.8095703125
